ID,address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two),reviews_list,menu_item,listed_in(type),listed_in(city)
232,"25 60 feet road, Main road, Sharavanthi nagar, Pattegarhpalya, Bengaluru 560072",Karnatabala,Yes,Yes,4.4/5,401,7483776015,Vijayanagar,Casual Dining,"chicken biriyani, Bucket biriyani and combo",South Indian,600,"Amazing place for dine in. Family restaurant, quality is a priority, ordered unlimited biriyani meals, spicy kababs were amazing",[],Restaurant,Vijayanagar
233,"No.349/36, Khata, 342, channasandra Main rd, near Full circle, Hemmigepura ward 198, Rajarajeshwari Nagar, Bengaluru 560098",Torye,Yes,Yes,4.1/5,453,nul,RR Nagar,Casual Dining,"Starters, Drinks",Multi-Cuisine,1000,It was nice expirence for us. We choose this place on my birthday and it is very good. Ambience is great .,[],Pub,RR Nagar
234,"3512, Opp KSIT college, 80 Feet road, Kanakpura rd, Raghuvanahalli, Bengaluru 560109",Sri V Foods,No,No,4.2/5,329,,Raghuvanahalli,Casual Dining,"Unlimited Non veg meals for rs.349, 5 types of Starters, salad, complimentary ice cream",Multi-Cuisine,1000,"Supr delicious chicken items,unlimited concept is very good. ",[],Restaurant,Raghuvanahalli
235,"Second floor, Rohan Plaza, 2331/B, 17th Cross rd, 1st sector, HSR Layout, 560102",House of Dakshina,Yes,No,4.4/5,998,6364204557,HSR Layout,Casual Dining,"Combo for rs.299, Andhra style food,chicken biriyani unlimited , raggi mudhe",South Indian,500,We tried both veg and Non veg meals but veg options were more tastier.,[],Restaurant,HSR Layout
236,"1616, Ground floor, 36th cross Rd, Eastend, jayanagar 9th block, Jayanagar 560069",Coal Flame Biriyani,Yes,Yes,4.0/5,410,9845045212,Jayanagar,Casual Dining,Unlimited Biriyani  for rs.333 with two diferrent starters.,South Indian,800,"I recently had a pleasure of savoring the unique coal flame biriyani at this hidden gem, and it was an absolute delight",[],Restaurant,Jayanagar
237,"1st Floor, 60, 60 Feet rd, 5th block koramangala, bengaluru 560095",HABENBRO,Yes,Yes,4.6/5,559,8867020111,Koramangala,Casual Dining," chilli prawns, Dynamite wings, chicken bbq pizza, chicken baked penne alfredo,chicken sizzler, majito,",Multi-Cuisine,500,The place had a really good ambience and the service offered was good. The food was very affordable.,[],Cafe,Koramangala
238,"66/1 1st floor 33rd cross, above Ajfan dates, 7th  Main rd, 4th block, Jayanagar,bengaluru 560011",Food Springs,Yes,Yes,4.1/5,1151,9108876091,Jayanagar,Casual Dining,"Pan Pan Asian foods, Pizza etc, Jain foods",Multi-Cuisine,400,There is a thing or so for Thai foods Raw flavour that hits your mouth. A visit is recommended,[],Restaurant,Jayanagar
239,"290, 7th Main rd, BTM 2nd stage, BTM Layout, Bengaluru 560076",Quarter Coffee Outlet,No,No,4.8/5,17,nul,BTM Layout,Casual Dining,"Coffee, Tea , Ginger Tea, Diamond tea, Jaggery based tea, masala green tea, cold beverages",Indian Street Food,300,Enjoy the masala tea and green tea . A best coffe spot,[],Street Stalls,BTM Layout
240,"3-94/1, 80 feet rd, Kathreguppe, Banashankari 3rd stage, Banashankari, Bengaluru 560085",Bengaluru Aramane Donne Biriyani,Yes,No,4.2/5,458,7411890208,Banashankari,Casual Dining,"chicken biriyani, chilli chicken, chicken kabab, Guntur chicken, Signature combo",South Indian,500,"We should really appreciate such a delicious food, got reference from one of my friend to try chilli chicken and guntur chicken.",[],Restaurant,Banashankari
241,Near Empire Restaurant opposite to rabindranath tagore statue circle Hebbal Bengaluru 560032,Sree Banashankari hotel,No,No,4.5/5,128,nil,Hebbal,Self-service,"Chicken palav, Mutton palav, Boti, Thale",South Indian,250,Budet friendly  Sreet cart chicken pulav is rs.120 and mutton pulav for rs.200. Starters are also available with everything for rs. 80,[],Street Stalls,Hebbal
242,"&th cross rd, BTM 2nd stage, BTM Layout, Bengaluru, 560076(Near Disney Bakery)",Simplee Shawarma,Yes,No,3.8/5,4,nil,BTM Layout,Casual Dining,"Fully loaded shawarma, Chef shawarma",Multi-Cuisine,400,Fully loaded Shawarma for rs.119/- and chef shawarma for rs.85/-,[],Restaurant,BTM Layout
243,"7, 19th Main rd, 4th sector, HSR Layout, Bengaluru 560102",Hotel Thirthalli,No,Yes,4.4/5,191,7892590771,HSR Layout,Casual Dining,"Mutton chops, keema balls, Mutton pepper, chilly chicken, Mutton biriyani chicken biriyani",South Indian,600,Food was good. Chicken combo must try,[],Restaurant,HSR Layout
244,"No.13 &14 1st floor kempegowda commercial arcade, kempegowda rd, opposite pothys, Balepete, chickpet, Bengaluru",Aahara At Majestic,Yes,No,3.7/5,123,9591626111,Chickpet,Casual Dining,"rs.299/- Unlimited Biriyani meals , 3 chicken starters, 2 types of chicken biriyani are available",South Indian,600,In parcel they are providing only one biriyani collecting 344/- very expensive,[],Restaurant,Chickpet
245,"Ground Floor , SRS tower,21, near Mangala kalyana Mantapa, KHB Colony, Koramangala 5th Block, Bengaluru, Karnataka 560095",Malgudi Mylari Mane,Yes,Yes,4.4/5,509,9731362277,Koramangala,Casual Dining,"Chicken curry, peper chicken, Mudde, chicken palav, Chicken meals for rs. 249 and mutton meals for rs.299, Mutton fry, meat ball dry, nati koli fry, keema balla,Nati prawns",South Indian,600,Great food at decent price. Taste is good and must try items are dosa with chicken fry and mutton fry.,[],Restaurant,Koramangala
246,"shirkle Main rd, Kengeri Upanagara, Beside to Vishal Mart Opposite to green house Bemgaluru 560060",New Chaakana Kitchen,No,No,3.9/5,58,9945403728,Kengeri,Casual Dining,"Chicken biriyani, chicken peper, chilli chicken, guntur chicken",South Indian,800,"we tried mutton biriyani its tasty, but mutton pieces are Not hot we also tried crispy chicken lolipop very hot and spicy",[],Restaurant,Kengeri
247,"chandra layout main rd, near hyper village market, govindaraja nagar ward, Maruthi nagar, Attiguppe, bengaluru 560040",Appu's Food Lovers Kitchen,Yes,No,4.9/5,9,9019933202,Vijayanagar,Self-service,"Dynamic paneer, mushroom peper dry, mushroom dum biriyani, mushroom kabab",South Indian,500,Very tasty and affordable food .,[],Street Stalls,Vijayanagar
248,"88, Service rd, kasavanahalli village, Marthahalli bengaluru 560037",Nati & co,Yes,Yes,3.8/5,31,nul,Marathahalli,Casual Dining,"Chicken meals at rs.200/-, Egg dose, chilli chicken , tea, neer dose",South Indian,500,A pocket friendly place with yumm naati style food.,[],Restaurant,Marathahalli
249,"shop 10, Survey 14, Thirumenahalli, Thanisandra Main Rd, Bengaluru, 560064",Shareat,Yes,No,4.3/5,24,nul,Yelahanka,Casual Dining,No human touch pani puri,North Indian,150,A delightful experience choosing your OWN flavoured pani for puris.,[],Street Stalls,Yelahanka
250,"maramma temple Halage vedarhalli, Remco bhel Layout, Pattanagere, Rajarajeshwari Nagar, Bengaluru 560098",Biriyani factory,Yes,Yes,4.2/5,661,8105050169,RR Nagar,Casual Dining,"Chicken manchurian, mysore chicken, mudde",Multi-Cuisine,2000,"I wanted to visit the ahara restaurant but which is quite a little distance ahead but due to crowd, I viisited here but it is very good",[],Restaurant,RR Nagar
251,"shop No 8, 28th cross Hulimavu Main rd, near saravana motors, Kempamma Layout, Hulimavu, Bengaluru 560076",Breakfast biriyani,Yes,No,4.7/5,96,9967493499,JP Nagar,Casual Dining,"Hyderabad style biriyani, veg and chicken manchow soup, egg chingari, egg biriyani",Multi-Cuisine,700,"best biriyani I have ever tried, quantity and quality is good",[],restaurant,JP Nagar
252,"95, opp. Vyedhi hospital, qwhitefield, EPIP zone, bengaluru 560066",Bahuka Restaurent,No,Yes,3.8/5,739,7411705588,Whitefield,Self-service,Unlimited Veg and Non veg foods,Multi-Cuisine,600,"They serve wide variety of grilled meats , biriyani , kababs and curries",[],restaurant,Whitefield
253,"Marathahalli , AECS layout Mian rd, AECS layout, Brookefiels, Bengaluru, 560037",Cafe Siri,Yes,Yes,4.1/5,637,8105831046,Marathahalli,Casual Dining,Traditional Meals for Lunch,South Indian,600,Visited for dinner on a weekend. They have a dedicated car parking for this restaurant,[],restaurant,Marathahalli
254,"2631, 27th Main Rd, PWD Quarters, !st sector, HSR Layout, Bengaluru 560102",Central Jail,Yes,Yes,3.9/5,5893,7337886666,HSR Layout,Casual Dining,"Jail Themed Restaurant, Red alert, Chicken encounter",South Indian,2000,Atmosphere was very good since it was weekend took a little time to get the seats in the lock up.,[],Restaurant,HSR Layout
255,"shop No 248, first floor, shri krishna vaibhav, 7th cross rd, Micro Layout, BTM 2nd stage, BTM Layout, Bengaluru, 560076",The KOI,Yes,Yes,4.7/5,139,nul,BTM Layout,Casual Dining,"Glass Noodles, numprick thai chicken,prawn",Pan Pan Asian,1000,Good ambience with good music. Very welcoming staff.,[],Restaurant,BTM Layout
256,"367, 80 Feet rd, Judges colony, Ak colony, Hebbal, Bengaluru 560032",RNR Biriyani,Yes,Yes,4.8/5,1158,9742721949,Hebbal,Casual Dining,,South Indian,800,"Tried mutton and chicken biriyani, comparatively mutton was better",[],Restaurant,Hebbal
257,"Kalyan Nagar Ward No 29, 5th main rd, 1cross, HRBR Layout 2nd block 560043",Donne biriyani Palace,Yes,No,4.2/5,188,nul,Kalyan Nagar,Casual Dining,"Combos, kabab, guntur chicken, peper chicken,chicken fry, chilli chicken",South Indian,800,Visited this outlet which opened recently the ambience is very nice. Pricing is also affordabale,[],Restaurant,Kalyan Nagar
258,Kammanahalli next to Maha bazar,The Roll Mafia,Yes,No,4.7/5,190,988685536,Kammanahalli,Casual Dining,"BBQ kaba, BBQ rolls, types of kabab",Multi-Cuisine,300,They have revamped the place and the roll mafia is one of their 3 outlets ,[],Restaurant,Kammanahalli
259,"287, Gowri Arcade, Mahaganapathi Nagar, 6th phase 1st stage, Rajaji Nagar industrial town, Rajajinagar, bengaluru 560010",Bakasura Nati uta,Yes,No,3.4/5,259,nul,RR Nagar,Casual Dining,"kabab, chilli chicken , mudde, varities of meals , kal soup, Bucket biriyani",Multi-Cuisine,600,Nestled on the road towards Rajajinagar. Based on a youtube review tried out this spot for lunch.,[],Restaurant,RR Nagar
260,"670, 1st Floor, 11th Main road, Aurobindo Marg, 4th Block jayanagar, bengaluru 560011",Shokudo Restaurent,Yes,Yes,4.6/5,243,7019013088,Jayanagar,Casual Dining,"Live sushi counter, types of sushi,spicy koren ramen, chicken cut soup",Multi-Cuisine,700,This place in jayanagar surprised me with its delicious and fresh korean and japanese fare. Sushi and tonkatsu ramen was great,[],Restaurant,Jayanagar
261,"Kammanahalli , nehru road, next to roll mafia bengaluru 560084",Fruit ful,No,No,5.0/5,2,9886855536,Kammanahalli,Casual Dining,"Smokey DBC shake, Pizza , sandwich burger",Multi-Cuisine,150,Fresh juices are available,[],Cafe,Kammanahalli
262,"bus stop, 71/71 1st cross, sanjay main rd, Ashwath Nagar, bengaluru karnataka 560094",Natural juice bar,Yes,No,5.0/5,29,nul,New BEL Road,Self-service,"Korean iced tree, Boba drink, Ice cream, Sandwich",Indian Street Food,150,they have korean drinks which is yum.,[],Street Stalls,New BEL Road
263,"Kammanahalli, nehru road, next to mahabazaar, 1st floor, Bengaluru 560084",Made in Karunadu,No,No,4.2/5,18,nul,Kammanahalli,Casual Dining,"Manglore chicken ghee roast, Pettige chicken biriyani, ballary chilly chicken, mandya mutton nalli",South Indian,1000,Karnatka local foods are available in affordable rate,[],Street Stalls,Kammanahalli
264,"2nd floor,2379, PMC square Rajendra infotech Rd, sahakara Nagar byatarayanapura bengaluru 560092",parika coastal village,No,No,4.0/5,242,nul,Hebbal,Casual Dining,"Crab , prawns, Momos",Multi-Cuisine,1500,Taste wise its very good restaurant . I love the ambience here it was excellent .,[],Restaurant,Hebbal
265,"Archana complex, JC road, Doddamvalli, Sudhama Nagar, Bengaluru 560002",Santrupthi,Yes,No,4.8/5,28,nul,Sudhama Nagar,casual Dining,"Hyderabadi biriynai, naati style biriyani",Multi-Cuisine,400,Budget friendly Non veg meals is available,[],Restaurant,Sudhama Nagar
266,"19, 5th main rd near kullapa circle PNS layout subbayainaih palyam,kammanahalli Bengaluru 560084",Al amanah cafe,Yes,No,4.3/5,21816,nul,Kammanahalli,Casual Dining,"Turkish rolls, shawrma, jumbo rolls",Multi-Cuisine,800,Amazing Non veg rolls at cheap prices are available,[],Restaurant,Kammanahalli
267,"3rd floor, VR bengaluru ITPL main rd, B narayanapura whitefield bengaluru 560048",Salt,No,Yes,4.1/5,36174,nul,Whitefield,Casual Dining,"Mutton chps, mutton biriyani,Desserts",Multi-Cuisine,1500,"Food is good, ambience is also very good .Recommended to be tried",[],Resraurant,Whitefield
268,Hanumanth nagar,Hotel shivaprasad,No,No,4.2/5,12,nul,Banashankari,self service,"Tiffen , shavge, Vada, Puligogre",South Indian,500,Best biriyani,[],Restaurant,Banashankari
269,"22nd Cross Rd, siaddanna layout, Banashankari stage II, Banashankari Bengaluru 560070",The egg Town,No,No,4.4/5,84,nul,Banashankari,Self-service,"Egg omlette, egg roll, half boil burger,egg toast, bread omlette",Indian Street Food,350,"Two wheeler Street Stalls, menu starts from 39 and maximum 59, Egg roll tastes good and signature omlette was very tasty.",[],Street Stalls,Banashankari
270,"w 6th and 7th cross, sampige road sangheetha apts, malleswara bengaluru 560003",Bharjari Bhojana,Yes,No,4.4/5,771,nul,Malleswaram,casual dinning,"for rs.225, unlimited Veg food items, dose, pooori, beda",South Indian,600,we had a good lunch here.preparations of lunch served on banana leaves was excellent.,[],Restaurant,Malleswaram
271,bhagyama tiffen center yelandur,Bhagyama idli center,No,No,4.6/5,12,nul,JP Nagar,self-service,"Rice bath, isli, poori",South Indian,500,Affordable South Indian dishes are available,[],Restaurant,JP Nagar
272,"78, balepete main rd, Basettypet balepete chickpet, bengaluru 560053",South Ruchis,No,No,4.4/5,123,nul,Majestic,casual dinning,"Dose, Buffet for lunch, sweets, roti, white rice rasam",South Indian,500,absolutely delicious and fresh food! It was my first South Indian meal in Bengaluru and I loved it.,[],Restaurant,Majestic
273,Bettahalasur jala hobli yelahanka Bengaluru 562157,The next chapter,Yes,No,4.3/5,951,9686141134,Yelahanka,casual dinning,"Paneer amnchuri, chicken butter masala, mocktails, dhaba style foods",Multi-Cuisine,600,Nice ambience. Restaurant is completely open to nature and food tastes good but pricing is little on the higher side.,[],Restaurant,Yelahanka
274,"122,6th coss rd, gandhi nagar, Bengaluru karnataka 560032",Hotel Annapoorna,Yes,No,4.2/5,451,nul,Majestic,casual dinning,"Mutton biriyani,chicken biriyani, chops, starters",South Indian,600,Always visit this when am in Bangalore for meetings. It is a go to spot and with very delicious food,[],Restaurant,Majestic
275,"J K Plaza 788,12th main Rd, Indiranagar Bengaluru 560038",MagNolia Bakery,Yes,No,4.3/5,900,nul,Indiranagar,casual dinning,"Three Milks cake,Tres leches",Multi-Cuisine,800,Bakery is always super crowded the cakes were,[],Bakery,Indiranagar
276,"129, 1st Main Road, Dr, Dr Rajkumar Rd, 1st Block, Rajajinagar, Bengaluru, Karnataka 560010",Kakal Kai Ruchi,Yes,No,3.9/5,925,nul,RR Nagar,casual dinning,"pongal, masal dose, set dosa, idli, raggie dose",South Indian,500,"I recently dined at Kajal Kai Ruchi in Rajajinagar with my family, and we had a delightful experience. The restaurant boasts a pleasant ambiance, and their 'happy hour' promotion, running from 9 pm to 1 am, was a welcomed treat. We all enjoyed our visit and look forward to returning soon.,A lovely place in the main road with parking too. It has South Indian and North Indian food and is so delicious. The dosas and vadas are perfect. I absolutely love their open dosa and vadappe! Definitely recommend you to try all their food.",[],Restaurant,RR Nagar
277,"No. 1677, Ground Floor 22nd Cross Road, 27th Main Rd, 2nd Sector, HSR Layout, Bengaluru, Karnataka 560102",copper and pepper,Yes,No,4.3/5,449,nul,HSR Layout,casual dinning,"Unlimited chicken buffet, kabab, elneer payasa, bannana leaf feast",South Indian,850,"Typical Tamil chettinad style food. An excellent choice of Non-veg dishes and almost all the items were tasty. Seeraga samba mutton biriyani was top Notch. For wide range of items , just go for Thalai Vaazha Virundhu. Service was also excellent and very polite. Surprised to see it was Not crowded.,Want to try Chettinad style? This’s the place to go, me and my wife tried unlimited chicken buffet which included - chi kebab, soup, pepper chi, biryani, parota, chi masala, rasam and a dessert. All the items were hot, spicy and delicious, I loved their parota, it was super soft, roasted with desi ghee. All of these items just for 350 INR. Here the pepper chicken and kebab are must try items. I definitely recommend this place if you’re in HSR Layout.",[],Restaurant,HSR Layout
278,"WJ75+GXQ, 16th Main Rd, Kuvempu Nagar, Stage 2, BTM Layout, Bengaluru, Karnataka 560076",Bombay pav Bhajji and tawa butter palav,Yes,No,4.5/5,630,nul,BTM Layout ,self-service,"Pav Bhajji, tawa pulav",Indian Street Food,250,Authentic pav bhajji is available here and is very affordable. Pav bhajji costs rs.70 and rs.80 for tawa pulav.,[],Street Stalls,BTM Layout
279,"VHPG+57P, 6th E Main rd, Gaurav Nagar, Phase 7, JP Nagar, Bengaluru kothnur, 560078",Guru gobi center,No,No,4.2/5,536, 98806 20741,JP Nagar,self-service,"Cabbage manchuri, mushroom manchurian",Indian Street Food,200,Familiar place and they use machine to make gobi a step towards hygine. Affordable Rate mushroom and cabbage manchuri is availabale.,[],Street Stalls,JP Nagar
280,"422,1st floor, 5th Main rd, HRBR layout 2nd block, HRBR layout, Kalyan Nagar, Bengaluru karnatka 560043",Tositos,No,Yes,4.6/5,61,nul,Kalyan Nagar,casual dinning,"Infused roasted chicken, Assorted wings, cheese burger",Multi-Cuisine,600,"Pretty decent infused chicken in Bangalore. Pricing wise affordable for the quality they serve. Ambiance is soothing and pleasant. Most importantly the place is very clean and hygienic.,The food tastes really good and unique especially the burgers were personal favourite. Ambience was great quite spacious.",[],Restaurant,Kalyan Nagar
281,"near Xavier Institute of management, Muniswamy layout, phase 2, Electronic City, Bengaluru 560100",Karaikudi Chettinadu,No,No,5.0/5,2,nul,Electronic City,self-service,"kothu parotta, Idli,pepper chicken, mutta dosae",South Indian,200,Budget friendly chettinadu style authentic parottas are available. Egg dosa and kothu parotta is highly recommended.,[],Restaurant,Electronic City
282,"Near Smokers den, 1735,19th Main rd, sector 2, HSR Layout Bengaluru 560102",Hempies Burgers,Yes,No,4.9/5,113,9367512950,HSR Layout,casual dinning,"grilled chicken wings, korean fried chicken burger, onion rings",Multi-Cuisine,400,"Absolutely thrilled with my experience at Hempies Burgers! From the first bite to the last, the burgers were a symphony of flavors. The quality of ingredients was evident, and the attention to detail in crafting each burger truly sets this place apart. The ambiance is inviting, and the staff's enthusiasm adds to the overall positive vibe. A must-try for burger enthusiasts; I'll be coming back for more culinary delights!.,Grilled chicken Burger here was one of the best I have ever had in bangalore..fusion of hemp with burger and all other dishes gives new flavour which is worth every penny..",[],Cafe,HSR Layout
283,"No 5 kammasandra, site No 1359 shree Ananth Nagar Phase II Kaneshumari No 141, Taluk, 1359 Hobli, Attibele, 560100",Bbq chicken,No,No,3.3/5,417,nul,Electronic City,self-service,"chicken clear soup, chicken boneless bbq, chicken wings",Indian Street Food,200,Street style BBQ chicken available with budget friendly prices.All the items in the menu are within 150 and tastes amazing.,[],Street Stalls,Electronic City
284,"441, JP Nagar Rd,near Apollo Dental/oh my baby store, vijaya layout, Bilekhalli Bengaluru 560076",Selam RR biriyani,No,No,3.3/5,417,96868 04230,JP Nagar,casual dinning,"tandoori chicken, chicken biriyani, egg fried rice",South Indian,400,"Food was okay ,there r faking customer with combos and check attached images of kebab and manager with letagical answer supplier also worst just for name sake and brand it is Not worth for paying amt.,I visited this restaurant with high expectations, but the ambience, service, and speed were unsatisfactory. Unfortunately, they placed the order at the wrong table. Since the chicken biryani was unavailable, I opted for biryani rice and kebab. The taste was average, lacking excitement in the dining experience. While this is solely my personal experience, I hope the restaurant will make improvements across various aspects. Wishing for better culinary offerings and a more enjoyable atmosphere in the future.",[],Restaurant,JP Nagar
285,"Nagarthpet, Beside Chickpet Bengaluru",Raju sweets,No,No,3.9/5,208,nul,Chickpet,self-service,Gulab jamoon,Indian Street Food,200,Oh this place is hidden gem in one of the busiest street in Banglore.,[],Street Stalls,Chickpet
286,"KSIT College, kanakpura Rd, Raghuvanahalli , Bangalore City Municipal Corporation Layout, Bengaluru 560062",Parkview restaurant,Yes,No,4.5/5,295,nul,Raghuvanahalli,Casual dinning,"Manglore Buns, Masala Kadabu Idly, pudina Mushroom chilly, Paneer lolipop, Paneer Tikka",Multi-Cuisine,800,"The ambience is truly inviting, offering a serene atmosphere complemented by tasteful décor.",[],Restaurant,Raghuvanahalli
287,"No.11 Ground floor 4th C Cross Rd, KHB colony, 5th block, Koramangala Industrial Layout Koramangala, Bengaluru 560095",Ayub's,Yes,No,4.1/5,108,nul,Koramangala,Casual dinning,"Khati roll, Platter, mutton shekh  Rools",Multi-Cuisine,250,This place served one of best biriyanis I have had recently. If you are a food lover then this place should go into your list to visit.,[],Restaurant,Koramangala
288,"Main road,4M-407, 1st Floor, #rd block, 4th Mian, kammanahalli Main Rd, Kammanahalli bengaluru 560043",Indian Khaana,Yes,No,4.3/5,188,nul,Kammanahalli,Casual dinning,"gobi manchuri, Soap, paddu, Plain dosa, Noodles",Multi-Cuisine,300,our new year lunch were cancelled due to some personal reasons and we stumbled upon this place on our way back.,[],Restaurant,Kammanahalli
289,"National clg flyover, Unnamed Road , Basavanagudi Bengaluru 560004",Mr max,No,No,4.7/5,67,nul,Basavanagudi,self-service,"Idly, Rice bath, masala dosa, vade, pudi dosa",Indian Street Food,200,"Budget friendly midnight food available, maggie is highly recommended",[],Street Stalls,Basavanagudi
290,"metropillar No 253, 60/2, Kanakapura Rd, Paramount Gardens, thalaghattapura, Vajarahalli, Bengaluru 560062",R K Naatu Biriyani,Yes,No,4.7/5,149,nul,Raghuvanahalli,Casual dinning,"Kaal soup, biriyani, ",South Indian,500,"Good place with tasty food. Tried chicken biriyani, chicken kabab and kal soup a few times, bit spicy but I lovede it.",[],Restaurant,Raghuvanahalli
291,"57, 1st Floor SLV arcade 9th Mian Road, $0th Cross Rd, 5th Block, jayanagar, Bengaluru 560041",Masaleedaar desi rasooi,Yes,No,4.3/5,896,8296742677,Jayanagar,Casual dinning,"North Indian food, Paneer tikka, Shangai fried rice",North Indian ,1000,Highly recommended !! I recently visited this amazing. ,[],Restaurant,Jayanagar
292,"OMG PG, 3rd Main rd, near MCC College, Vasanth Nagar, Bengaluru 560052",Oney,Yes,Yes,5.0/5,4,nul,Vasanth Nagar,Casual dinning,"Desserts, Panner tikka, Brownie",Multi-Cuisine,800,Ambience is awsome ! Really nice place! Hands down one of the best brewery.,[],Cafe,Vasanth Nagar
293,"105, Kengal Hanumanthaiah Rd, Raja Ram Mohanroy Extension, Shanti Nagar, Bengaluru, Karnataka 560027",Naru Noodle Bar,Yes,Yes,4.4/5,293,9886791733,Shanthi Nagar,Casual Dining," Ramen,Japanese Cheesecake",Japanese,1200," Undoubtedly my favourite restaurant in Bangalore, I have been here a total of 8 times. The pastrami and tonkotsu are the best ramen, followed by the shoyu. The karaage is also excellent. Don’t forget to try the kombutcha! The culinary artists who run this place are very kind and friendly, and the service is prompt. Many thanks to Tapas, Ezra and of course Kavan,I am apprehensive when it comes to exclusive restaurants which have limited reservations etc but this was totally worth the process. The appetisers and Ramen is the best I have had. The quality of ingredients, the spice mix, the texture… all is yum. Must visit! But don’t forget to reserve before going!",[], Restaurant, Shanthi Nagar
294,"697, 15th Croos, 2nd Phase, J.P. Nagar, Bangalore, Bengaluru, Karnataka", Khmer Kitchen,Yes,Yes,4.5/5,4517,7337808139,JP Nagar,Casual Dining," Baos,Dimsums",Pan Asian,2500," Food was good. We ordered Stir fried Tofu with fresh peppercorns, raw mango papaya salad, vegan crystal dimsum and chestnut chia pudding. The preparation was tasty and the service was good,his is a Cambodian restaurant offering good pan Pan Asian varieties . very good for Non vegetarian food. they also offer some great vegetarian dishes also.good deserts. Tempura rolls are good. very good ambience. little expensive. Portion size is medium",[], Restaurant,JP Nagar
295,"174/A, 19th Main Rd, Sector 4, HSR Layout, Bangalore, India",Le Kene,Yes,No,4.6/5,149,null,HSR Layout,Casual Dining,"Coffee,Desserts",Multi-Cuisine,600,"Check out this place for some delicious gourmet desserts and hot chocolates. The place gives very cozy and comfort vibes. The aesthetics are very pretty. As of Now, it is semi self service where one places order at the counter and then they serve it. I visited the place in evening and they were out of stock for most of the desserts. But whatever I tried - tropical profiterole & caramel cereal eclairs, I absolutely loved them.Check out this place for some delicious gourmet desserts and hot chocolates. The place gives very cozy and comfort vibes. The aesthetics are very pretty. As of Now, it is semi self service where one places order at the counter and then they serve it. I visited the place in evening and they were out of stock for most of the desserts. But whatever I tried - tropical profiterole & caramel cereal eclairs, I absolutely loved them.",[],Cafe,HSR Layout
296,"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore, Bengaluru, Karnataka ", 1947 Restaurant,Yes,Yes,4.2/5,90,80826791213,Banashankari,Self Service,Vegetarian dishes,Indian and Chinese,950," Went there for a family & friend's dinner outing. Good option for a pure vegetarian group. Tandoori baby corn was good. Rabdi kulfi was finger licking. Staff is courteous and friendly. Overall good experience.Loved the food , it was very tasty & served well. If you want to have a good North indian food , you must visit this place.",[],Restaurant,Banashankari
297,"31/7 Loyola Layout, Victoria Road Richmond Town, Bangalore", Water monkey cafe,Yes,No,4.1/5,55,null,Rajajinagar,Casual Dining,"Mixed berry smoothie,Glitter cappucciNo",Ice Creams and Beverages,1200,"Really enjoyed my experience in this small little cafe, quiet place to read a book . Really enjoyed the coffee .The basque cheese cake was just out of the world. chef Rolex made amazing pulled pork sandwich.",[],Cafe,Rajajinagar
298,"6 Hulimavu Gate, JP Nagar Rd, near Begur - Hulimavu Road, Arch, Bengaluru, Karnataka 560076",Unlimited food factory,No,No,4.5/5,522,null,JP Nagar,Casual Dining,"Briyani,Seafood",Indian,500,All the dish out here are tasty and value for money the ice cream tasted good.Extreme service and quality best place,[],Restaurant,JP Nagar
299,"Jayanagar 4th block bus station, 9th Main Rd, next to reservation counter, 4th T Block East, 4th Block, Jayanagar, Bengaluru, Karnataka 560041",Desi Masala,Yes,No,4.3/5,"10,053",074063 24999,Jayanagar,Self Service,"Briyani,North Indian","Chinese, North Indian",1000,"Nice buffet and service Good food and quality Worth for price . Do visit Desi Masala.Decent, affordable food with a friendly atmosphere. Location is good but there is a lack of parking space otherwise worth trying once.",[],Restaurant,Jayanagar
300," 235, 9th Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102", Hellan's boba,No,No,4.8/5,82,null,HSR Layout,Self Service,Taiwan Taro Boba ,Beverages,400,"The Taiwan taro is the best here, it's price is around Rs170 but really liked the taste.Really good place to have boba. They have real authentic bobas rather than some other places which give cheap ones. They are affordable compared to other boba places. The shop is open till 12.30AM midnight",[],Street Stalls,HSR Layout
301,"Prestige Icon, 4121/S HAL, 2nd Stage Kodihalli, Jeevan Bima Nagar, Bengaluru, Karnataka 560008",Koko,No,No,4.6/5,109, 098443 04747,Indiranagar,Casual Dining,Forbidden Fruit,Pan Asian,3000,"One of the best restaurants serving Pan Asian cuisine in Bengaluru. Cocktails are inNovative . Service is surely matching a fine dine experience. Mr Ravi served us and had good time .A must visit place in Bangalore for all Japanese cuisine lovers. Great location, lovely ambience and excellent service elevates the overall experience. Menu has plenty of choices unlike other Japanese restaurants. We loved starters, main course and the dessert. Cocktails and Mocktails were awesome too. Special mention to Ravi for his excellent customer service.",[],Restaurant,Indiranagar
